IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,195199,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,195200,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Nordfriesland,A00-A04,M,1,0,195201,2020-03-20T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,2,0,195202,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,1,0,195203,2020-03-18T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,195204,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,195205,2020-03-23T00:00:00.000Z,01054,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,195206,2020-03-12T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,3,0,195207,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,195208,2020-03-19T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,195209,2020-03-21T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,2,0,195210,2020-03-17T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,195211,2020-03-19T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,195212,2020-03-20T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,195213,2020-03-21T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,195214,2020-03-22T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,195215,2020-03-20T00:00:00.000Z,01054,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,195216,2020-03-23T00:00:00.000Z,01054,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Ostholstein,A00-A04,M,1,0,195217,2020-03-19T00:00:00.000Z,01055,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Ostholstein,A15-A34,M,1,0,195218,2020-03-23T00:00:00.000Z,01055,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Ostholstein,A15-A34,W,2,0,195219,2020-03-23T00:00:00.000Z,01055,24.03.2020 00:00,1,0
